Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525A CJ2, 525B CJ3, 525C CJ4, 525 CJ1, Citation X, Citation X+, 560XL-XLS+, 560XL-XLS, 560XL Excel, 560 Ultra, 560 Encore+, 560 Encore, Citation 500/501, Citation 550, Citation 650, Citation 700	Tool	static port connectors	33410FFAB-125-4	Nav-Aids	Needed For Standard Inspections	700 tooling	$526.35		$0.00	https://pilotjohn.com/new/nav-aids-ltd/33410ffab-125-4			In Research		3-4 week lead	
Citation 700	Tool	main landing gear simulator test box	8288001-1	Textron	Needed For Standard Inspections	700 tooling			$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/8288001-1						
Citation 700	Tool	Nose gear simulator test box	6988012-7	Textron	Needed For Standard Inspections	700 tooling			$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/6988012-7						
Citation 700, Citation 500/501, Citation 550, Citation 650	Tool	pitot probe adapters 	P86892-4	NAV-AIDS	Needed For Standard Inspections	700 tooling			$0.00	https://pilotjohn.com/new/nav-aids-ltd/p86892-4?srsltid=AfmBOoovs4TWMrD_GKGhPcp0Qf7VQ1M_r2A1ryjkeP3drQsIHE3mqtZ9						
Citation 700	Tool	Main gear jack pad	R-3053	Tronair Inc.	Needed For Standard Inspections	700 tooling			$0.00	https://www.tronair.com/products/r-3053						
Citation 700, Citation X	Tool	nose gear jack pad	R-1808	Tronair Inc.	Needed For Standard Inspections	700 tooling			$0.00	https://www.tronair.com/products/r-1808						
Citation 700	Tool	PCB extender card	PCB40, PCB60, or PCB92	Textron	Needed For Standard Inspections	700 tooling			$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/PCB92						
Citation 700	Tool	RTD Calibrator	Fluke 712 RTD calibrator	Fluke	Needed For Standard Inspections	700 tooling	$2,091.99		$0.00	https://www.fluke.com/en-us/product/calibration-tools/temperature-calibrators/fluke-712b?srsltid=AfmBOoqMwxbRpoMTBlF1OKs_s9J9J5EDv7YdtX8cQuM3BY93XsG5RkZk						
Citation 700	Tool	wheel speed simulator 	CJMDU32-007A	Textron	Needed For Standard Inspections	700 tooling			$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMDU32-007A						
Citation 700	Tool	cessna longitude CMC viewer SD card	8204541-X	Textron	Needed for Repairs	700 tooling			$0.00							
Citation 700	Tool	oxygen flow meter test kit	CJMDX35-001	Textron	Needed For Standard Inspections	700 tooling			$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/CJMDX35-001						
Citation 700	Tool	control wheel leveling bar	CJMDS27-015	Textron	Needed For Standard Inspections	700 tooling			$0.00							
Citation 700	Tool	Micro-ohmmeter	model 580	keithley instruments	Needed For Standard Inspections	700 tooling			$0.00							
Citation 700, 525C CJ4	Tool	portable test set (ultrasonic)	TS500	Dukane seacom inc.	Needed For Standard Inspections	700 tooling			$0.00	https://www.avionteq.com/Dukane-Avionics-TS500-ULB-test-set						
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL Excel, 560XL-XLS, 560XL-XLS+, Citation X, Citation X+, Citation 700, Citation 500/501, Citation 550, Citation 650	Tool	portable air data tester	6520 (described by laversab as being designed to test most light jets in general) 	Laversab	Needed For Standard Inspections	700 tooling			$0.00	https://laversab.com/product/model-6250-rvsm-automated-pitot-static-tester-for-light-jets/						
Citation 700	Tool	EEI download kit	5837831-4	Textron	Needed For Standard Inspections	700 tooling			$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/5837831-4						
Citation 700, 560XL-XLS+, 560XL-XLS, 560XL Excel	Tool	Main Landing gear jack	02-7815C0110	Tronair	Needed For Standard Inspections	700 tooling			$0.00	https://www.tronair.com/products/02-7815c0110			In Research			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4	Tool	Coaxial Cable (BNC to BNC)	611-6013-04	Artex Aircraft Supplies	Needed For Standard Inspections	Avionics Stage 1	$246.54		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/611-6013-04			Pending Approval			
						MRO Tooling Wishlist			$0.00				In Research			
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL Excel, Citation X+, Citation X, 560XL-XLS+, 560XL-XLS, Citation 700	Consumable	grease	MIL-PRF-23827C Type I (aeroshell 33)		Needed For Standard Inspections	Stage 1	$17.20	4	$68.80	https://www.aircraftspruce.com/catalog/eppages/aerogrease33.php?clickkey=12005158			Ordered		Approved	yes
